time_control,end_time,rated,time_class,white_username,white_rating,white_result,black_username,black_rating,black_result,black_accuracy,white_accuracy
60,2024-01-06,True,bullet,aa175,2737,resigned,Hikaru,3243,win,85.6,76.36
60,2024-01-06,True,bullet,DanielNaroditsky,3266,win,Hikaru,3235,resigned,80.78,87.16
60,2024-01-06,True,bullet,Hikaru,3230,insufficient,Kacparov,3002,insufficient,86.18,86.41
60,2024-01-06,True,bullet,Hikaru,3219,resigned,HansOnTwitch,3107,win,87.91,82.11
60,2024-01-06,True,bullet,Hikaru,3223,win,gurelediz,3000,timeout,71.28,77.23
60,2024-01-06,True,bullet,vi_pranav,3030,win,Hikaru,3211,resigned,78.38,88.53
60,2024-01-06,True,bullet,GoltsevDmitry2000,2866,resigned,Hikaru,3213,win,85.26,69.92
60,2024-01-06,True,bullet,dropstoneDP,3086,win,Hikaru,3202,resigned,79.61,93.24
60,2024-01-06,True,bullet,Hikaru,3205,win,stollenmonster,2925,resigned,79.11,81.71
60,2024-01-06,True,bullet,Hikaru,3209,win,gurelediz,2987,resigned,82.02,94.95
60,2024-01-06,True,bullet,Oleksandr_Bortnyk,3247,resigned,Hikaru,3218,win,81.7,75.86
60,2024-01-06,True,bullet,yosephtaher,2987,win,Hikaru,3205,checkmated,75.79,82.88
